mean_speed,max_speed,std_speed,weight(kg),height(m),bar height(m),jump status
300.714245750865,639.067022268457,121.804328824285,90,1.9,1.9,1
222.533014606116,647.511849748526,160.160976228462,95,1.91,1.96,1
311.066083551801,1657.1206086559,246.400006047335,95,1.91,1.99,1
259.761173030934,635.340969965018,142.784979920999,82,1.85,1.99,1
424.523214457844,2814.9532275479,348.90661941496,88,1.9,1.99,1
247.849080479467,587.858413720495,126.381599433206,89,1.89,1.99,1
190.557273673734,527.904884140345,101.147782522153,88,1.91,2.02,1
403.056199172395,3141.27981754219,387.339161207687,95,1.91,2.02,0
381.251002082302,1729.21315153894,313.944758891516,90,1.9,2.02,1
219.975793683606,1666.67631010509,216.810311653532,94,2.01,2.02,0
138.087937697143,445.601890266773,78.1067894122991,82,1.91,1.99,0
305.259047347721,878.349055667064,198.251453581322,95,1.91,1.93,1
203.54234600639,619.468723629717,126.479195381814,88,2.04,1.99,1
155.820789223983,460.662634933514,86.4432459229201,92,1.9,1.99,0
117.717233497395,939.500044927911,112.185808303866,82,1.91,1.99,0
185.206606283254,379.593306286021,72.4143549271284,73,1.78,1.99,0
145.985317849528,416.052136505873,78.4367980599965,92,1.9,1.99,0
373.790660427637,3010.65871265557,425.334589879088,86,1.99,2.02,0
155.732834735823,2138.57451541877,233.502937067417,82,1.91,2.02,0
152.343886151426,651.307801763943,89.4786568106183,82,1.94,2.02,0
124.691582253181,618.912423705572,78.9288642944488,82,1.91,2.02,0
194.32285455445,437.815065169977,83.4835160901681,82,1.86,2.05,0
494.397359824304,5223.67315556429,672.559602204761,82,1.85,1.93,1
170.12569868147,991.973727865509,125.486748199956,82,1.94,2.05,0
204.339276783025,547.063427094936,109.783581346402,83,1.8,2.05,0
107.263022504828,417.156802446015,83.1053513572114,88,1.9,1.93,1
306.414815577418,2143.40442804673,245.161935873111,95,1.91,1.96,0
149.517267984281,417.108656167507,95.7300973066903,90,1.9,1.96,1
202.628006640643,763.50420887636,107.172472621266,97,2.01,1.96,1
207.763996193822,478.43402562554,103.684357248956,83,1.84,1.96,1
104.011429529932,347.15242682011,76.296704840279,90,1.9,1.96,1
